,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
6,2020-05-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,22,,,,,,,,,,,,
7,2020-07-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,30,,,,,,,,,,,,
8,2020-08-10,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,33,,,,,,,,,,,,
9,2020-08-19,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,12.0,12.0,0.0,34,,,,,,,,,,,,
10,2020-08-31,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,36,,,,,,,,,,,,
11,2020-09-04,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,36,,,,,,,,,,,,
12,2020-10-12,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,42,,,,,,,,,,,,
13,2020-11-09,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,46,,,,,,,,,,,,
14,2020-11-16,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,47,,,,,,,,,,,,
15,2020-12-07,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,50,,,,,,,,,,,,
16,2020-12-14,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,51,,,,,,,,,,,,
17,2020-12-21,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,52,,,,,,,,,,,,
18,2020-12-28,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,53,,,,,,,,,,,,
0,2021-01-18,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,3,,,,,,,,,,,,
1,2021-03-02,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,9,,,,,,,,,,,,
2,2021-03-08,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,10,,,,,,,,,,,,
3,2021-04-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,16,,,,,,,,,,,,
4,2021-04-26,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,17,,,,,,,,,,,,
5,2021-06-07,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-06-21,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-07-19,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,29,,,,,,,,,,,,
8,2021-08-06,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,10.0,10.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-08-16,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-09-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-10-12,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-01,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,44,,,,,,,,,,,,
13,2021-11-15,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,46,,,,,,,,,,,,
14,2021-12-06,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-12-07,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-12-27,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,6.0,0.0,0.0,6.0,6.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
