,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
10,2019-06-05,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,23,,,,,,,,,,,,
11,2019-06-19,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,25,,,,,,,,,,,,
12,2019-06-22,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,-36.0,-36.0,0.0,25,,,,,,,,,,,,
13,2019-07-17,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,29,,,,,,,,,,,,
14,2019-07-31,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,31,,,,,,,,,,,,
15,2019-08-28,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,35,,,,,,,,,,,,
16,2019-09-11,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,37,,,,,,,,,,,,
17,2019-09-23,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,39,,,,,,,,,,,,
18,2019-09-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,39,,,,,,,,,,,,
19,2019-10-02,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,40,,,,,,,,,,,,
20,2019-10-16,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,42,,,,,,,,,,,,
21,2019-11-27,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,48,,,,,,,,,,,,
22,2019-12-18,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,51,,,,,,,,,,,,
23,2019-12-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,52,,,,,,,,,,,,
0,2020-01-08,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,2,,,,,,,,,,,,
1,2020-01-17,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,3,,,,,,,,,,,,
2,2020-01-22,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,4,,,,,,,,,,,,
3,2020-02-26,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,9,,,,,,,,,,,,
4,2020-03-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,13,,,,,,,,,,,,
5,2020-04-08,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,15,,,,,,,,,,,,
6,2020-04-22,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,17,,,,,,,,,,,,
7,2020-04-29,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,18,,,,,,,,,,,,
8,2020-05-13,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,20,,,,,,,,,,,,
9,2020-05-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,21,,,,,,,,,,,,
10,2020-06-10,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,24,,,,,,,,,,,,
11,2020-06-17,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,25,,,,,,,,,,,,
12,2020-07-15,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,29,,,,,,,,,,,,
13,2020-07-28,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,31,,,,,,,,,,,,
14,2020-08-05,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,32,,,,,,,,,,,,
15,2020-08-26,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,35,,,,,,,,,,,,
16,2020-10-07,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,41,0.0,,,,,,,,,,,
17,2020-10-29,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,44,0.0,,,,,,,,,,,
18,2020-11-05,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,45,,,,,,,,,,,,
19,2020-11-11,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,46,,,,,,,,,,,,
20,2020-12-09,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,50,,,,,,,,,,,,
0,2021-01-06,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-13,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-01-20,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-01-27,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-02-10,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-03-10,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,10,,,,,,,,,,,,
6,2021-04-14,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-04-28,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-05-05,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,18,,,,,,,,,,,,
9,2021-06-02,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,22,,,,,,,,,,,,
10,2021-06-16,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,24,,,,,,,,,,,,
11,2021-06-23,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,25,,,,,,,,,,,,
12,2021-07-07,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-07-29,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-08-05,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,31,,,,,,,,,,,,
15,2021-08-18,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,33,,,,,,,,,,,,
16,2021-08-25,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,34,,,,,,,,,,,,
17,2021-09-15,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,37,,,,,,,,,,,,
18,2021-10-06,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,40,,,,,,,,,,,,
19,2021-10-27,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,43,,,,,,,,,,,,
20,2021-11-18,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,46,,,,,,,,,,,,
21,2021-12-02,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,48,,,,,,,,,,,,
22,2021-12-16,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,48.0,48.0,0.0,50,,,,,,,,,,,,
23,2021-12-22,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,51,,,,,,,,,,,,
24,2021-12-30,B03251164,紙膠布,1〞x10YD;附切台 120/S,卷,T,48.0,0.0,0.0,36.0,36.0,0.0,52,,,,,,,,,,,,
