,Unnamed: 0,料號,紀錄週數,Chinese_Name,規格,型號,預測值
23,23,A46441986,52,幫浦輸液套(一般型),,M46441980AP,12
24,24,A00120102,52,10cc塑膠注射空針 有螺紋,10ml 22G*1-1/2〞  luer lock,MDSS10L2238,188
25,25,U91700000,52,丟棄式導尿包,滅菌,,10
26,26,A00120059,52,5cc塑膠注射空針,有螺紋5cc，23Gx1+1/4〞,,246
27,27,A04411285,52,全拋式採血器,28G,05888662200,251
28,28,C00120168,51,二叉留置導尿管16FR,16FR,YJ-57,8
29,29,B08143445,51,紗布墊 4〞X4〞X8Ply,4〞X4〞X8Ply，10片/包,,10
30,30,C00733218,51,抗感染安全尖端導管組,7FRX20CM,CS-25703-E,11
31,31,B05569084,51,沖洗棉棒 棉頭3.8cm直徑2.4cm,8支/包 300包/箱,,7
32,32,D00320301,51,3-0 尼龍線  Nylon,26mm x 75cm,NC263L,7
33,33,F36005006,51,單一無菌引流袋 500cc,單向逆流,M08001,5
34,34,U90480016,51,中央靜脈導管包布,20包/箱,BC8001E,9
35,35,A03295054,50,安全式注射筆專用針,30G × 5mm,329505,12
36,36,U00202042,50,塑膠三路考克 3Way附Luer Lock,R-Type,4095120,2
37,37,V00400273,50,潤滑凍膏 2.7-3GM(滅菌),2.7-3GM 滅菌,CD-LG-721,7
38,38,A00120017,49,1cc PVC注射空針 無螺紋,1ml 25Gx5/8〞luer slip 3200支/箱,02-0011,5
39,39,C02723000,49,氧氣鼻管 O2雙管 2-Way,200條/箱   100/S,OX-2,4
40,40,A02322259,49,〞美迪克〞安全性靜脈留置針  22G,22GX25MM,SP120-22-25,5
41,41,A46445209,48,幫浦輸液套 (含加藥筒),,M46445200SAP,5
42,42,C02513167,47,鼻胃管16Fr  可顯影125cm,30條/包 ，4包/箱,,4
43,43,T04220215,46,微量噴霧器,,PN-1118A,3
44,44,Y12876111,41,康威 多愛膚親水性敷料(人工皮),10X10cm:9.5X9.7cm,187660,9
45,45,C14000004,41,輸液延長管,600付/箱,A130,4
46,46,F41200000,38,痰液收集器,14Fr  180個/箱,,2
47,47,C08224755,35,氣管內管PVC,7.5#有Cuff,107-75,3
48,48,T01101024,33,噴霧氧氣口罩，Aerosol Mask,成人,OX-5-1,1
49,49,F01700003,31,真空吸引瓶,500cc         20/S,,2
50,50,T00030706,30,微量噴霧器,噴霧杯容量6CC，蛇管15CM，T接頭,3070P3,1
51,51,C02514164,30,矽質胃管  16FR,16FR,ST-0016,3
52,52,T01910532,29,丟棄式人工甦醒球,,BE-1503,3
53,53,I00000060,27,彎式拋棄式葉片#1~#5,彎式拋棄式喉頭鏡葉片#1~#5,TR-DB1/TR-DB2/TR-DB3/TR-DB4/TR-DB5,2
54,54,T01300007,27,多重濃度氧氣口罩,,4088,1
55,55,A02312182,26,〞美迪克〞安全性靜脈留置針  24G,24GX19MM,SP120-24-19,3
56,56,A02120209,25,塑膠注射針頭,20Gx1+1/2〞  100支/盒,4657519,0
57,57,C02100500,25,密閉式抽痰套 12FR,12-14FR,BCSS12﹑BCSS14,1
58,58,B05904451,24,看護墊,40X70cm 10層2片/包,,1
59,59,B03215340,23,嬰幼兒專用膠帶,1〞X10Y,1534-1,3
60,60,A02320186,23,靜脈留置針-18G,18GA*1  3/4〞,4251334,2
61,61,B00304056,23,彈性紗捲,10cmx4.6M(4〞x5yd),,1
62,62,C00120184,22,二叉留置導尿管18FR,18FR,YJ-57,1
63,63,B13500704,22,無菌手套7.0Fr(無粉)-病房用,#7.0,1318,0
64,64,C02911226,22,灌腸管,22FR,YJ-78,1
65,65,B13000709,21,外科無菌手套,7,5.5-8.5,5
66,66,T01612024,21,不再吸入口罩,,OM-81212,1
67,67,C18100251,21,〞巴德〞 耐吉瑞透析導管20CM,12Fr/20CM,5553200,2
68,68,V02204118,21,手術刀片,#11   100支/盒,,1
69,69,C00211067,20,橡皮導尿管1wayNo12美規,100條/袋  2袋/箱,,2
70,70,A02318314,20,〞美迪克〞安全性靜脈留置針,18GX31MM,SP120-18-31,4
71,71,B04805109,20,豬尾巴導管組專用貼布(use for5~12F),,BT-CS-0512T,0
72,72,J10907500,19,〞康諾〞引流袋 (滅菌),2000c.c,DB2000,0
73,73,C02911200,19,灌腸管,20FR,YJ78,1
74,74,F01321004,19,廢液收集器-開刀房區(有止溢閥),有止溢閥,CSB-200S3,1
75,75,B13000656,18,外科無菌手套,6.5,5.5-8.5,16
76,76,C18100201,18,〞巴德〞 耐吉瑞透析導管15CM,12Fr/15CM,5553150,1
77,77,I16200040,18,CPUI用細菌過濾器,22F+22M/15F,1790000,1
78,78,T02130909,17,Oral Airway (Disposable),90mm，黃,2309,0
79,79,T01101016,17,氧氣口罩成人含接管,,OX-3,0
80,80,B13000759,17,外科無菌手套,7.5,5.5-8.5,5
81,81,B10106197,16,康威-愛康膚泡棉敷料(滅菌),12.5x12.5cm,420619,11
82,82,F00230005,16,胸腔引流瓶,disposable 1800c.c,H03182,3
83,83,A02320160,15,靜脈留置針-16G,16Gx1.77〞INSYTE,381257,1
84,84,C02813013,15,〞亞康恩〞 導入/引流導管及其附件 (滅菌),6FR~12FR ; 20cm﹑25cm﹑30cm,756506020;756506025;756507020;756507025;756508020;756508025;756510020;756510025;756512020;756512025;756508030;756510030,0
85,85,A00120110,15,10cc塑膠注射空針 無螺紋,10ml 22G*1-1/2〞 luer slip,MDSS10S2238,1
86,86,C03613903,14,高壓延長管(公針基-公針基),72〞(約180-183cm) 滅菌，可承受壓力 300(PSI)(投標時請附5包樣品現場審查),ETP2-007,1
87,87,B00306050,14,彈性紗捲,15cmx4.6M(6〞x5yd),,3
88,88,K82430329,13,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,20601S,0
89,89,C00120142,13,二叉留置導尿管14FR,14FR,YJ-57,0
90,90,B13500651,13,無菌手套6.5Fr(無粉)-病房用,#6.5,1318,0
91,91,C00703153,13,中央靜脈壓導管組(大人),16gaX20cm 無菌,CS-24301-E,2
