,料號,Chinese_Name,規格,型號,庫存單位代碼,庫存單位,常備量,庫存量
45,B00215008,網狀彈性繃帶,5# 25Y /盒,,11,盒,0,1
46,B08143223,紗布墊 2〞X2〞X8Ply,10片/包,,7,包,0,360
47,C00211091,橡皮導尿管1wayNo18美規,50條/袋  2袋/箱,,4,條,0,49
48,V00500012,超音波傳導膠,250ml/瓶,BE-051,10,瓶,0,52
49,Z25311145,眼鏡式護目鏡,,,1,個,0,174
50,C00120100,二叉留置導尿管10Fr,10Fr,YJ-57,4,條,0,20
51,C13802021,塑膠接管 直接管,,O02011,2,支,0,21
52,B00104103,紗布繃帶,10cmx9M(4〞x10YD),,12,卷,0,48
53,B00303102,彈性紗捲,7.5cmx9M(3〞x10yd),,14,捲,0,54
54,C00411089,Penrose Drain Tube,8mm毛細引流管,2010-0408,4,條,0,20
55,C00411108,Penrose Drain Tube,10mm毛細引流管,2010-0410,4,條,0,2
56,C08224602,氣管內管PVC,6.0#有Cuff,107-60,2,支,0,17
57,V02204100,手術刀片,#10   100支/盒,,2,支,0,1664
58,B08143334,紗布墊 3〞X3〞X8Ply,3〞X3〞-8Ply  10片/包,,7,包,0,25
59,J00610007,"塑膠尿套,男用","45cm,100個/包       ",,7,包,0,7
60,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),BC9585DL NO,29,件,0,19
61,A00120221,20CC塑膠注射空針 (有螺紋),20ml luer lock,MDSS20L,2,支,0,0
62,C00123101,二叉矽質導尿管-10Fr,10FR,,4,條,0,0
63,C00123127,二叉矽質導尿管-12Fr,12FR,,4,條,0,20
64,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,"42770,1770",1,個,0,11
65,V04451006,壓舌板,10支/包，500包/箱,,7,包,0,397
66,D00569558,2-0不可吸收多股-絲線不帶針,360-365cm不帶針滅菌(12包/盒),LA55G,7,包,0,7
67,G80506039,黑頭ESR管(真空無菌)1040302啟用,受容量5ml採血量2-3ml,454073,2,支,0,130
68,Z26720137,鞋套:止滑18〞16〞14〞,14〞16〞18〞具止滑功能,,24,雙,0,1300
69,B04150042,免縫膠布,1/2〞x4〞,R1547,7,包,0,118
70,B13700308,檢診手套(非滅菌),100支/盒,L,11,盒,0,0
71,U90902601,大桌巾(未滅菌器械包布),60PK/CS,BC9260NO,7,包,0,0
72,B13500455,無粉乳膠手套,100支/盒﹑10盒/箱,S,11,盒,0,1361
73,B13500619,無粉乳膠手套,100支/盒﹑10盒/箱,L,11,盒,0,8
74,C13913601,塑膠抽吸接管,360cm，滅菌,S-27-020-A,4,條,0,98
75,J00300505,小腿尿袋,2000cc,YJ-31,1,個,0,100
76,C90573557,長固-呼吸管路組(含管路連接),20EA/箱,573550,103,EA,0,0
77,A10123008,腰椎穿刺針-23G,23G*3+ 1/2in(約0.6mmx90mm滅菌),405240,2,支,0,72
78,C13931182,安全靜脈留置針   18G,1-1/4〞 18G,4251687-03,2,支,0,0
79,G80100027,PST生化管(真空無菌),受容量4ml採血量3ml,367960,2,支,0,20
80,T00000027,拋棄式雙管呼吸管路組,拋棄式雙管呼吸管路組,M-RC-1047,3,組,0,25
81,G81507009,血糖試紙,瑞特GS700血糖測試片 25片/罐x2/盒,GS700,8,片,0,0
82,B13700009,檢診手套(非滅菌),,XS,11,盒,0,-11
83,B13500558,無粉乳膠手套,100支/盒﹑10盒/箱,M,11,盒,0,100
84,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,,12,卷,0,0
85,V01100853,電極導電膠(未滅菌),250cc/瓶,ElectroMat 50,10,瓶,0,0
86,L00500149,Prime & Bond NT,Quit罐/組,,3,組,0,0
87,D16445125,2-0  尼龍線,24mm x 75cm,NC242,7,包,0,120
88,A04411370,胰島素筆型注射器針頭32G x 4mm,32G x 4mm,320472,2,支,0,606
89,A04800036,靜脈輸液套，附Y加葯管,20gtt/ml 100個/箱,B02,1,個,0,30
90,D00320301,3-0 尼龍線  Nylon,26mm x 75cm,NC263L,7,包,0,0
91,A00421108,1cc 胰島素注射空針-31G,10支/包 31Gx8mm針頭,328820,2,支,0,0
92,C00211083,橡皮導尿管1wayNo16美規,50條/袋  2袋/箱,,4,條,0,37
93,C17200027,尼普洛血液迴路管,,A015/V609,3,組,0,0
94,E45101130,低通透膜透析器UFR≧7，面積≦1.3m2,,Sureflux-130G,1,個,0,0
95,A02120198,塑膠注射針頭,19Gx1+1/2〞  100支/盒,4657799,2,支,0,170
96,C02113149,抽痰管，內含手控接頭,14Fr100條/袋  6袋/箱,BSU14,4,條,0,-100
97,A02120225,塑膠注射針頭,22Gx11/4〞  100支/盒,4657624,2,支,0,190
98,D00213208,2-0 絲線  2-0 Silkam Precut,60cm不帶針滅菌(12包/盒，13條/包),W213,7,包,0,96
99,R19269069,〞艾思瑞斯〞雙管注射器系統,,(1)ABS-10011;(2)ABS-10010S,155,set,0,0
